Date,Close
2/2/2018 ,24.89
2/5/2018 ,23.47
2/6/2018 ,24.16
2/7/2018 ,24.76
2/8/2018 ,24
2/9/2018 ,24.15
2/12/2018 ,24.19
2/13/2018 ,24.88
2/14/2018 ,25.64
2/15/2018 ,26.46
2/16/2018 ,26.26
2/20/2018 ,25.65
2/21/2018 ,25.59
2/22/2018 ,26.17
2/23/2018 ,26.74
2/26/2018 ,27.45
2/27/2018 ,28.4
2/28/2018 ,29.41
3/1/2018 ,29.25
3/2/2018 ,30.41
3/5/2018 ,30.35
3/6/2018 ,30.36
3/7/2018 ,29.92
3/8/2018 ,28.92
3/9/2018 ,28.88
3/12/2018 ,28.76
3/13/2018 ,29.82
3/14/2018 ,29.23
3/15/2018 ,28.8
3/16/2018 ,28.9
3/19/2018 ,29.3
3/20/2018 ,28.93
3/21/2018 ,28.68
3/22/2018 ,28.27
3/23/2018 ,27.21
3/26/2018 ,27.9
3/27/2018 ,27.86
3/28/2018 ,29.07
3/29/2018 ,29.74
4/2/2018 ,29.07
4/3/2018 ,28.99
4/4/2018 ,30.09
4/5/2018 ,30.93
4/6/2018 ,29.8
4/9/2018 ,29.15
4/10/2018 ,29.3
4/11/2018 ,29.07
4/12/2018 ,28.9
4/13/2018 ,28.26
4/16/2018 ,28.74
4/17/2018 ,28.94
4/18/2018 ,29.4
4/19/2018 ,29.41
4/20/2018 ,29.96
4/23/2018 ,30.46
4/24/2018 ,30.5
4/25/2018 ,30.72
4/26/2018 ,31.75
4/27/2018 ,32.19
4/30/2018 ,31.07
5/1/2018 ,30.74
5/2/2018 ,31.34
5/3/2018 ,31.45
5/4/2018 ,31.24
5/7/2018 ,30.05
5/8/2018 ,29.78
5/9/2018 ,30.14
5/10/2018 ,29.42
5/11/2018 ,29.64
5/14/2018 ,29.63
5/15/2018 ,29.93
5/16/2018 ,33.17
5/17/2018 ,33.84
5/18/2018 ,33.84
5/21/2018 ,34.61
5/22/2018 ,33.12
5/23/2018 ,33.48
5/24/2018 ,34.03
5/25/2018 ,34.13
5/29/2018 ,34.83
5/30/2018 ,35.58
5/31/2018 ,34.91
6/1/2018 ,35.56
6/4/2018 ,37.1
6/5/2018 ,40.05
6/6/2018 ,40.1
6/7/2018 ,40.21
6/8/2018 ,39.88
6/11/2018 ,39.75
6/12/2018 ,39.97
6/13/2018 ,38.37
6/14/2018 ,37.56
6/15/2018 ,38.27
6/18/2018 ,38.73
6/19/2018 ,38.88
6/20/2018 ,39.62
6/21/2018 ,39.32
6/22/2018 ,37.43
6/25/2018 ,36.97
6/26/2018 ,37.86
6/27/2018 ,37.88
6/28/2018 ,38.48
6/29/2018 ,37.43
7/2/2018 ,36.54
7/3/2018 13:00:00,37.13
7/5/2018 ,36.89
7/6/2018 ,36.89
7/9/2018 ,36.46
7/10/2018 ,36.72
7/11/2018 ,36.44
7/12/2018 ,36.12
7/13/2018 ,36.39
7/16/2018 ,36.99
7/17/2018 ,37.07
7/18/2018 ,37.7
7/19/2018 ,38.96
7/20/2018 ,38.65
7/23/2018 ,39.41
7/24/2018 ,39.36
7/25/2018 ,40.17
7/26/2018 ,39.48
7/27/2018 ,39.48
7/30/2018 ,40.27
7/31/2018 ,39.73
8/1/2018 ,37.94
8/2/2018 ,38.73
8/3/2018 ,38.95
8/6/2018 ,38.78
8/7/2018 ,39.47
8/8/2018 ,39.89
8/9/2018 ,40.56
8/10/2018 ,39.97
8/13/2018 ,40.08
8/14/2018 ,41.82
8/15/2018 ,35.15
8/16/2018 ,35.81
8/17/2018 ,36.03
8/20/2018 ,38.21
8/21/2018 ,38.24
8/22/2018 ,37.55
8/23/2018 ,38.13
8/24/2018 ,36.51
8/27/2018 ,36.28
8/28/2018 ,36.34
8/29/2018 ,36.21
8/30/2018 ,35.97
8/31/2018 ,36.55
9/4/2018 ,36.39
9/5/2018 ,35.8
9/6/2018 ,35.36
9/7/2018 ,35.51
9/10/2018 ,35.98
9/11/2018 ,36.39
9/12/2018 ,36.39
9/13/2018 ,35.74
9/14/2018 ,36.27
9/17/2018 ,35.16
9/18/2018 ,35.53
9/19/2018 ,35.55
9/20/2018 ,35.18
9/21/2018 ,35.69
9/24/2018 ,34.75
9/25/2018 ,34.38
9/26/2018 ,34.89
9/27/2018 ,34.59
9/28/2018 ,34.73
10/1/2018 ,34.71
10/2/2018 ,33.03
10/3/2018 ,33.4
10/4/2018 ,32.87
10/5/2018 ,32.83
10/8/2018 ,33.18
10/9/2018 ,33.05
10/10/2018 ,32.76
10/11/2018 ,32.14
10/12/2018 ,33.38
10/15/2018 ,33.39
10/16/2018 ,33.51
10/17/2018 ,31.84
10/18/2018 ,32.41
